File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:46:20 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
-0.08,-0.21,1.19,32.9,0
-0.08,-0.2,1.19,32.9,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.2,1.18,32.9,0
-0.08,-0.2,1.18,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.2,1.18,32.9,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.17,32.6,0
-0.09,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.9,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.09,-0.21,1.19,32.6,0
-0.09,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.09,-0.21,1.18,32.9,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.09,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.22,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.09,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.09,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.09,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.09,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.07,-0.21,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.09,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.09,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.09,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.17,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.09,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.09,-0.2,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.09,-0.2,1.18,32.4,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.4,0
-0.08,-0.21,1.19,32.4,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.4,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.09,-0.21,1.19,32.9,0
-0.09,-0.21,1.18,32.9,0
-0.09,-0.21,1.19,32.9,0
-0.09,-0.21,1.18,32.9,0
-0.08,-0.21,1.18,32.9,0
-0.09,-0.2,1.18,32.9,0
-0.09,-0.21,1.19,32.9,0
-0.08,-0.21,1.19,32.9,0
-0.09,-0.2,1.19,32.9,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.4,0
-0.09,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.4,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.6,0
-0.09,-0.2,1.18,32.4,0
-0.08,-0.2,1.18,32.4,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.2,1.19,32.4,0
-0.08,-0.21,1.19,32.4,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.2,1.19,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.4,0
-0.08,-0.2,1.19,32.4,0
-0.08,-0.2,1.18,32.4,0
-0.08,-0.21,1.19,32.4,0
-0.08,-0.2,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.2,1.19,32.4,0
-0.08,-0.2,1.18,32.4,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.2,1.19,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.19,32.4,0
-0.08,-0.2,1.19,32.4,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.2,1.18,32.4,0
-0.08,-0.2,1.19,32.4,0
-0.08,-0.2,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.2,1.19,32.4,0
-0.08,-0.2,1.19,32.4,0
-0.09,-0.21,1.19,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.19,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.2,1.18,32.4,0
-0.08,-0.21,1.19,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.08,-0.21,1.18,32.4,0
-0.09,-0.21,1.18,32.4,0
